"customer_id","tenure_months","contract","paperless_billing","payment_method","monthly_charges","total_charges","cltv"
"3668-QPYBK",2,"Month-to-month",True,"Mailed check","53.85","108.15",3239
"9237-HQITU",2,"Month-to-month",True,"Electronic check","70.70","151.65",2701
"9305-CDSKC",8,"Month-to-month",True,"Electronic check","99.65","820.50",5372
"7892-POOKP",28,"Month-to-month",True,"Electronic check","104.80","3046.05",5003
"0280-XJGEX",49,"Month-to-month",True,"Bank transfer (automatic)","103.70","5036.30",5340
"4190-MFLUW",10,"Month-to-month",False,"Credit card (automatic)","55.20","528.35",5925
"8779-QRDMV",1,"Month-to-month",True,"Electronic check","39.65","39.65",5433
"1066-JKSGK",1,"Month-to-month",False,"Mailed check","20.15","20.15",4832
"6467-CHFZW",47,"Month-to-month",True,"Electronic check","99.35","4749.15",5789
"8665-UTDHZ",1,"Month-to-month",False,"Electronic check","30.20","30.20",2915
"8773-HHUOZ",17,"Month-to-month",True,"Mailed check","64.70","1093.10",3022
"6047-YHPVI",5,"Month-to-month",True,"Electronic check","69.70","316.90",2454
"5380-WJKOV",34,"Month-to-month",True,"Electronic check","106.35","3549.25",2941
"8168-UQWWF",11,"Month-to-month",True,"Bank transfer (automatic)","97.85","1105.40",5674
"7760-OYPDY",2,"Month-to-month",True,"Electronic check","80.65","144.15",5586
"9420-LOJKX",15,"Month-to-month",True,"Credit card (automatic)","99.10","1426.40",2966
"7495-OOKFY",8,"Month-to-month",True,"Credit card (automatic)","80.65","633.30",5302
"1658-BYGOY",18,"Month-to-month",True,"Electronic check","95.45","1752.55",3179
"5698-BQJOH",9,"Month-to-month",False,"Electronic check","94.40","857.25",5571
"5919-TMRGD",1,"Month-to-month",True,"Electronic check","79.35","79.35",2483
"9191-MYQKX",7,"Month-to-month",True,"Bank transfer (automatic)","75.15","496.90",3457
"8637-XJIVR",12,"Month-to-month",True,"Electronic check","78.95","927.35",5806
"0278-YXOOG",5,"Month-to-month",False,"Mailed check","21.05","113.85",2604
"4598-XLKNJ",25,"Month-to-month",True,"Electronic check","98.50","2514.50",5337
"3192-NQECA",68,"Two year",True,"Bank transfer (automatic)","110.00","7611.85",5034
"0486-HECZI",55,"Month-to-month",True,"Electronic check","96.75","5238.90",5154
"4846-WHAFZ",37,"Month-to-month",True,"Electronic check","76.50","2868.15",2793
"5299-RULOA",10,"Month-to-month",True,"Electronic check","100.25","1064.65",5998
"0404-SWRVG",3,"Month-to-month",True,"Electronic check","74.40","229.55",4415
"4412-YLTKF",27,"Month-to-month",True,"Electronic check","78.05","2135.50",4638
"6207-WIOLX",25,"Month-to-month",True,"Credit card (automatic)","58.60","1502.65",4190
"3091-FYHKI",1,"Month-to-month",True,"Electronic check","35.45","35.45",2301
"2372-HWUHI",2,"Month-to-month",False,"Electronic check","44.35","81.25",2570
"0390-DCFDQ",1,"Month-to-month",True,"Mailed check","70.45","70.45",3964
"4080-OGPJL",8,"Month-to-month",False,"Electronic check","71.15","563.65",2662
"2135-RXIHG",1,"Month-to-month",True,"Electronic check","45.65","45.65",2600
"3874-EQOEP",7,"Month-to-month",False,"Mailed check","95.00","655.50",2786
"0867-MKZVY",20,"Month-to-month",False,"Electronic check","82.40","1592.35",5719
"3376-BMGFE",4,"Month-to-month",True,"Bank transfer (automatic)","70.90","273.00",4287
"3445-HXXGF",58,"Month-to-month",True,"Electronic check","45.30","2651.20",5444
"1875-QIVME",2,"Month-to-month",True,"Electronic check","104.40","242.80",4690
"0691-JVSYA",53,"One year",True,"Bank transfer (automatic)","94.85","5000.20",4328
"2656-FMOKZ",15,"Month-to-month",True,"Mailed check","74.45","1145.70",5717
"2070-FNEXE",7,"Month-to-month",False,"Bank transfer (automatic)","76.45","503.60",4419
"6317-YPKDH",1,"Month-to-month",False,"Bank transfer (automatic)","29.95","29.95",4534
"9367-WXLCH",8,"Month-to-month",False,"Bank transfer (automatic)","84.50","662.65",2152
"1918-ZBFQJ",13,"Month-to-month",True,"Electronic check","79.25","1111.65",5142
"1024-GUALD",1,"Month-to-month",True,"Electronic check","24.80","24.80",4851
"2472-OVKUP",6,"Month-to-month",True,"Electronic check","91.00","531.00",2283
"1285-OKIPP",1,"Month-to-month",False,"Electronic check","79.90","79.90",3394
"7825-ECJRF",19,"Month-to-month",True,"Electronic check","106.60","1934.45",3764
"7841-TZDMQ",2,"Month-to-month",True,"Credit card (automatic)","46.00","84.50",2667
"9408-SSNVZ",4,"Month-to-month",True,"Electronic check","70.15","268.35",2227
"0742-MOABM",4,"Month-to-month",False,"Mailed check","50.05","179.35",3394
"2232-DMLXU",1,"Month-to-month",False,"Mailed check","55.20","55.20",3638
"8937-RDTHP",1,"Month-to-month",True,"Mailed check","84.60","84.60",2484
"1251-KRREG",2,"Month-to-month",True,"Mailed check","54.40","114.10",2556
"0094-OIFMO",11,"Month-to-month",True,"Electronic check","95.00","1120.30",5980
"9947-OTFQU",15,"Month-to-month",True,"Electronic check","74.40","1074.30",4616
"0322-YINQP",1,"Month-to-month",True,"Mailed check","48.55","48.55",5687
"4629-NRXKX",2,"Month-to-month",False,"Electronic check","70.40","147.15",5687
"9514-JDSKI",1,"Month-to-month",False,"Electronic check","40.20","40.20",5828
"4959-JOSRX",2,"Month-to-month",True,"Credit card (automatic)","44.60","80.55",4884
"7273-TEFQD",3,"Month-to-month",True,"Electronic check","41.15","132.20",2314
"3606-TWKGI",13,"Month-to-month",True,"Electronic check","106.90","1364.30",2494
"6323-AYBRX",59,"Two year",False,"Mailed check","19.35","1099.60",5084
"4385-GZQXV",16,"Month-to-month",True,"Electronic check","94.45","1511.20",3810
"6366-ZGQGL",1,"Month-to-month",False,"Bank transfer (automatic)","24.80","24.80",5087
"5940-AHUHD",1,"Month-to-month",False,"Mailed check","70.60","70.60",3338
"6432-TWQLB",5,"Month-to-month",True,"Electronic check","85.40","401.10",3676
"4484-GLZOU",52,"Month-to-month",True,"Electronic check","105.05","5624.85",4839
"9512-UIBFX",18,"Month-to-month",False,"Mailed check","95.15","1779.95",4643
"5583-SXDAG",1,"Month-to-month",False,"Electronic check","70.00","70.00",4094
"3488-PGMQJ",8,"Month-to-month",True,"Electronic check","74.50","606.55",4345
"3580-REOAC",10,"Month-to-month",True,"Credit card (automatic)","44.85","435.40",4061
"7534-BFESC",24,"Month-to-month",True,"Electronic check","76.10","1712.70",2018
"6390-DSAZX",1,"Month-to-month",True,"Mailed check","73.60","73.60",2565
"8098-LLAZX",4,"Month-to-month",True,"Electronic check","95.45","396.10",3677
"0265-EDXBD",32,"Month-to-month",True,"Electronic check","74.90","2303.35",4105
"7563-BIUPC",5,"Month-to-month",True,"Electronic check","80.60","415.55",5715
"2321-OMBXY",38,"One year",False,"Credit card (automatic)","80.30","3058.65",2071
"2840-XANRC",24,"Month-to-month",True,"Electronic check","93.15","2231.05",2212
"5020-ZSTTY",54,"One year",False,"Bank transfer (automatic)","82.45","4350.10",4149
"5804-LEPIM",2,"Month-to-month",True,"Electronic check","70.35","139.05",2671
"0122-OAHPZ",7,"Month-to-month",True,"Electronic check","73.85","511.25",2473
"2868-SNELZ",2,"Month-to-month",False,"Mailed check","80.60","155.80",2683
"4322-RCYMT",68,"One year",True,"Bank transfer (automatic)","75.80","5293.95",4903
"6680-NENYN",43,"Two year",True,"Electronic check","104.60","4759.85",5250
"1343-EHPYB",63,"Month-to-month",True,"Electronic check","103.40","6603.00",4352
"2034-GDRCN",2,"Month-to-month",True,"Electronic check","90.40","168.20",4157
"0219-YTZUE",4,"Month-to-month",True,"Bank transfer (automatic)","84.80","371.90",4939
"0623-IIHUG",21,"Month-to-month",True,"Electronic check","41.90","840.10",4778
"4572-DVCGN",10,"Month-to-month",True,"Bank transfer (automatic)","80.25","846.00",3598
"9057-MSWCO",27,"Month-to-month",False,"Credit card (automatic)","30.75","805.10",2927
"1010-DIAUQ",5,"Month-to-month",False,"Bank transfer (automatic)","96.50","492.55",5383
"0259-GBZSH",2,"Month-to-month",True,"Electronic check","85.65","181.50",3878
"9601-BRXPO",25,"Month-to-month",True,"Bank transfer (automatic)","104.95","2566.50",3642
