"customer_id","churn_label","churn_reason"
"3668-QPYBK",True,"Competitor made better offer"
"9237-HQITU",True,"Moved"
"9305-CDSKC",True,"Moved"
"7892-POOKP",True,"Moved"
"0280-XJGEX",True,"Competitor had better devices"
"4190-MFLUW",True,"Competitor offered higher download speeds"
"8779-QRDMV",True,"Competitor offered more data"
"1066-JKSGK",True,"Competitor made better offer"
"6467-CHFZW",True,"Competitor had better devices"
"8665-UTDHZ",True,"Competitor had better devices"
"8773-HHUOZ",True,"Competitor offered higher download speeds"
"6047-YHPVI",True,"Competitor offered higher download speeds"
"5380-WJKOV",True,"Competitor offered higher download speeds"
"8168-UQWWF",True,"Competitor offered more data"
"7760-OYPDY",True,"Competitor offered more data"
"9420-LOJKX",True,"Competitor offered more data"
"7495-OOKFY",True,"Competitor made better offer"
"1658-BYGOY",True,"Competitor made better offer"
"5698-BQJOH",True,"Price too high"
"5919-TMRGD",True,"Product dissatisfaction"
"9191-MYQKX",True,"Service dissatisfaction"
"8637-XJIVR",True,"Lack of self-service on Website"
"0278-YXOOG",True,"Network reliability"
"4598-XLKNJ",True,"Limited range of services"
"3192-NQECA",True,"Lack of affordable download/upload speed"
"0486-HECZI",True,"Long distance charges"
"4846-WHAFZ",True,"Extra data charges"
"5299-RULOA",True,"Price too high"
"0404-SWRVG",True,"Product dissatisfaction"
"4412-YLTKF",True,"Service dissatisfaction"
"6207-WIOLX",True,"Lack of self-service on Website"
"3091-FYHKI",True,"Network reliability"
"2372-HWUHI",True,"Don't know"
"0390-DCFDQ",True,"Don't know"
"4080-OGPJL",True,"Don't know"
"2135-RXIHG",True,"Poor expertise of online support"
"3874-EQOEP",True,"Poor expertise of phone support"
"0867-MKZVY",True,"Price too high"
"3376-BMGFE",True,"Product dissatisfaction"
"3445-HXXGF",True,"Service dissatisfaction"
"1875-QIVME",True,"Lack of self-service on Website"
"0691-JVSYA",True,"Network reliability"
"2656-FMOKZ",True,"Limited range of services"
"2070-FNEXE",True,"Lack of affordable download/upload speed"
"6317-YPKDH",True,"Long distance charges"
"9367-WXLCH",True,"Extra data charges"
"1918-ZBFQJ",True,"Price too high"
"1024-GUALD",True,"Product dissatisfaction"
"2472-OVKUP",True,"Service dissatisfaction"
"1285-OKIPP",True,"Lack of self-service on Website"
"7825-ECJRF",True,"Network reliability"
"7841-TZDMQ",True,"Don't know"
"9408-SSNVZ",True,"Don't know"
"0742-MOABM",True,"Don't know"
"2232-DMLXU",True,"Poor expertise of online support"
"8937-RDTHP",True,"Poor expertise of phone support"
"1251-KRREG",True,"Price too high"
"0094-OIFMO",True,"Product dissatisfaction"
"9947-OTFQU",True,"Service dissatisfaction"
"0322-YINQP",True,"Lack of self-service on Website"
"4629-NRXKX",True,"Network reliability"
"9514-JDSKI",True,"Limited range of services"
"4959-JOSRX",True,"Lack of affordable download/upload speed"
"7273-TEFQD",True,"Long distance charges"
"3606-TWKGI",True,"Extra data charges"
"6323-AYBRX",True,"Price too high"
"4385-GZQXV",True,"Product dissatisfaction"
"6366-ZGQGL",True,"Service dissatisfaction"
"5940-AHUHD",True,"Lack of self-service on Website"
"6432-TWQLB",True,"Network reliability"
"4484-GLZOU",True,"Don't know"
"9512-UIBFX",True,"Don't know"
"5583-SXDAG",True,"Don't know"
"3488-PGMQJ",True,"Poor expertise of online support"
"3580-REOAC",True,"Poor expertise of phone support"
"7534-BFESC",True,"Price too high"
"6390-DSAZX",True,"Product dissatisfaction"
"8098-LLAZX",True,"Service dissatisfaction"
"0265-EDXBD",True,"Lack of self-service on Website"
"7563-BIUPC",True,"Network reliability"
"2321-OMBXY",True,"Limited range of services"
"2840-XANRC",True,"Lack of affordable download/upload speed"
"5020-ZSTTY",True,"Long distance charges"
"5804-LEPIM",True,"Extra data charges"
"0122-OAHPZ",True,"Price too high"
"2868-SNELZ",True,"Product dissatisfaction"
"4322-RCYMT",True,"Service dissatisfaction"
"6680-NENYN",True,"Lack of self-service on Website"
"1343-EHPYB",True,"Network reliability"
"2034-GDRCN",True,"Don't know"
"0219-YTZUE",True,"Don't know"
"0623-IIHUG",True,"Don't know"
"4572-DVCGN",True,"Poor expertise of online support"
"9057-MSWCO",True,"Poor expertise of phone support"
"1010-DIAUQ",True,"Price too high"
"0259-GBZSH",True,"Product dissatisfaction"
"9601-BRXPO",True,"Service dissatisfaction"
"6905-NIQIN",True,"Don't know"
"5167-ZFFMM",True,"Network reliability"
"4895-TMWIR",True,"Limited range of services"
"0533-BNWKF",True,"Lack of affordable download/upload speed"
"6599-CEBNN",True,"Long distance charges"
"0979-PHULV",True,"Extra data charges"
"4800-VHZKI",True,"Price too high"
"7989-CHGTL",True,"Product dissatisfaction"
"0334-GDDSO",True,"Service dissatisfaction"
"0578-SKVMF",True,"Lack of self-service on Website"
"5564-NEMQO",True,"Network reliability"
"9063-ZGTUY",True,"Don't know"
"2957-LOLHO",True,"Don't know"
"7752-XUSCI",True,"Don't know"
"4110-PFEUZ",True,"Competitor had better devices"
"0256-LTHVJ",True,"Competitor had better devices"
"0880-TKATG",True,"Competitor had better devices"
"3811-VBYBZ",True,"Competitor had better devices"
"4640-UHDOS",True,"Competitor had better devices"
"3583-EKAPL",True,"Competitor had better devices"
"9399-APLBT",True,"Competitor had better devices"
"2359-KMGLI",True,"Competitor had better devices"
"0306-JAELE",True,"Competitor had better devices"
"0781-LKXBR",True,"Price too high"
"6227-HWPWX",True,"Competitor had better devices"
"0447-BEMNG",True,"Price too high"
"5949-XIKAE",True,"Product dissatisfaction"
"8372-JUXUI",True,"Service dissatisfaction"
"0388-EOPEX",True,"Lack of self-service on Website"
"8205-OTCHB",True,"Network reliability"
"6235-VDHOM",True,"Limited range of services"
"7783-YKGDV",True,"Lack of affordable download/upload speed"
"5609-CEBID",True,"Long distance charges"
"7218-HKQFK",True,"Don't know"
"4636-QRJKY",True,"Price too high"
"5956-VKDTT",True,"Product dissatisfaction"
"9412-GHEEC",True,"Service dissatisfaction"
"0257-ZESQC",True,"Lack of self-service on Website"
"6825-UYPFK",True,"Network reliability"
"8397-MVTAZ",True,"Don't know"
"9282-IZGQK",True,"Don't know"
"1342-JPNKI",True,"Don't know"
"2817-NTQDO",True,"Poor expertise of online support"
"6986-IJDHX",True,"Poor expertise of phone support"
"5301-GAUUY",True,"Competitor had better devices"
"0939-YAPAF",True,"Competitor offered higher download speeds"
"4710-FDUIZ",True,"Competitor offered more data"
"1218-VKFPE",True,"Competitor made better offer"
"3627-FHKBK",True,"Competitor had better devices"
"2865-TCHJW",True,"Competitor had better devices"
"5192-EBGOV",True,"Competitor offered higher download speeds"
"0719-SYFRB",True,"Competitor offered higher download speeds"
"3419-SNJJD",True,"Competitor offered higher download speeds"
"6543-CPZMK",True,"Competitor offered more data"
"4765-OXPPD",True,"Competitor offered more data"
"1009-IRMNA",True,"Competitor offered more data"
"4554-YGZIH",True,"Competitor made better offer"
"5099-BAILX",True,"Competitor made better offer"
"7207-RMRDB",True,"Competitor had better devices"
"4913-EHYUI",True,"Competitor offered higher download speeds"
"0195-IESCP",True,"Competitor offered more data"
"4580-TMHJU",True,"Don't know"
"0970-ETWGE",True,"Competitor had better devices"
"1626-ERCMM",True,"Competitor had better devices"
"0887-HJGAR",True,"Competitor offered higher download speeds"
"5644-PDMZC",True,"Competitor offered higher download speeds"
