"customer_id","country","state","city","zip_code","latitude","longitude"
"3668-QPYBK","United States","California","Los Angeles",90003,"33.964131","-118.272783"
"9237-HQITU","United States","California","Los Angeles",90005,"34.059281","-118.307420"
"9305-CDSKC","United States","California","Los Angeles",90006,"34.048013","-118.293953"
"7892-POOKP","United States","California","Los Angeles",90010,"34.062125","-118.315709"
"0280-XJGEX","United States","California","Los Angeles",90015,"34.039224","-118.266293"
"4190-MFLUW","United States","California","Los Angeles",90020,"34.066367","-118.309868"
"8779-QRDMV","United States","California","Los Angeles",90022,"34.023810","-118.156582"
"1066-JKSGK","United States","California","Los Angeles",90024,"34.066303","-118.435479"
"6467-CHFZW","United States","California","Los Angeles",90028,"34.099869","-118.326843"
"8665-UTDHZ","United States","California","Los Angeles",90029,"34.089953","-118.294824"
"8773-HHUOZ","United States","California","Los Angeles",90032,"34.078821","-118.177576"
"6047-YHPVI","United States","California","Los Angeles",90039,"34.110845","-118.259595"
"5380-WJKOV","United States","California","Los Angeles",90041,"34.137412","-118.207607"
"8168-UQWWF","United States","California","Los Angeles",90042,"34.115720","-118.192754"
"7760-OYPDY","United States","California","Los Angeles",90056,"33.987945","-118.370442"
"9420-LOJKX","United States","California","Los Angeles",90061,"33.921280","-118.274186"
"7495-OOKFY","United States","California","Los Angeles",90063,"34.044271","-118.185237"
"1658-BYGOY","United States","California","Los Angeles",90065,"34.108833","-118.229715"
"5698-BQJOH","United States","California","Beverly Hills",90211,"34.063947","-118.383001"
"5919-TMRGD","United States","California","Huntington Park",90255,"33.978030","-118.217141"
"9191-MYQKX","United States","California","Lynwood",90262,"33.923573","-118.200669"
"8637-XJIVR","United States","California","Marina Del Rey",90292,"33.977468","-118.445475"
"0278-YXOOG","United States","California","Inglewood",90301,"33.956445","-118.358634"
"4598-XLKNJ","United States","California","Inglewood",90303,"33.936291","-118.332639"
"3192-NQECA","United States","California","Santa Monica",90403,"34.031529","-118.491156"
"0486-HECZI","United States","California","Torrance",90504,"33.867257","-118.330794"
"4846-WHAFZ","United States","California","Whittier",90602,"33.972119","-118.020188"
"5299-RULOA","United States","California","Whittier",90606,"33.976678","-118.065875"
"0404-SWRVG","United States","California","La Habra",90631,"33.940619","-117.951300"
"4412-YLTKF","United States","California","Pico Rivera",90660,"33.989524","-118.089299"
"6207-WIOLX","United States","California","Avalon",90704,"33.391181","-118.421305"
"3091-FYHKI","United States","California","Harbor City",90710,"33.798266","-118.300237"
"2372-HWUHI","United States","California","Lakewood",90712,"33.840524","-118.148403"
"0390-DCFDQ","United States","California","Los Alamitos",90720,"33.794990","-118.065591"
"4080-OGPJL","United States","California","San Pedro",90731,"33.736387","-118.284363"
"2135-RXIHG","United States","California","Carson",90745,"33.822295","-118.264110"
"3874-EQOEP","United States","California","Long Beach",90804,"33.783047","-118.148600"
"0867-MKZVY","United States","California","Altadena",91001,"34.196837","-118.142236"
"3376-BMGFE","United States","California","Monrovia",91016,"34.152800","-118.000482"
"3445-HXXGF","United States","California","Sierra Madre",91024,"34.168686","-118.057505"
"1875-QIVME","United States","California","Tujunga",91042,"34.296574","-118.244839"
"0691-JVSYA","United States","California","Pasadena",91103,"34.167465","-118.165327"
"2656-FMOKZ","United States","California","Pasadena",91106,"34.139402","-118.128658"
