"customer_id","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies"
"3668-QPYBK",True,"No","DSL","Yes","Yes","No","No","No","No"
"9237-HQITU",True,"No","Fiber optic","No","No","No","No","No","No"
"9305-CDSKC",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"7892-POOKP",True,"Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes"
"0280-XJGEX",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"4190-MFLUW",True,"No","DSL","No","No","Yes","Yes","No","No"
"8779-QRDMV",False,"No phone service","DSL","No","No","Yes","No","No","Yes"
"1066-JKSGK",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"6467-CHFZW",True,"Yes","Fiber optic","No","Yes","No","No","Yes","Yes"
"8665-UTDHZ",False,"No phone service","DSL","No","Yes","No","No","No","No"
"8773-HHUOZ",True,"No","DSL","No","No","No","No","Yes","Yes"
"6047-YHPVI",True,"No","Fiber optic","No","No","No","No","No","No"
"5380-WJKOV",True,"Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"8168-UQWWF",True,"Yes","Fiber optic","No","No","Yes","No","Yes","Yes"
"7760-OYPDY",True,"No","Fiber optic","No","No","No","No","Yes","No"
"9420-LOJKX",True,"No","Fiber optic","Yes","Yes","No","No","Yes","Yes"
"7495-OOKFY",True,"Yes","Fiber optic","No","Yes","No","No","No","No"
"1658-BYGOY",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"5698-BQJOH",True,"Yes","Fiber optic","No","No","No","No","Yes","Yes"
"5919-TMRGD",True,"No","Fiber optic","No","No","No","No","Yes","No"
"9191-MYQKX",True,"No","Fiber optic","No","No","Yes","No","No","No"
"8637-XJIVR",True,"Yes","Fiber optic","Yes","No","No","No","No","No"
"0278-YXOOG",True,"No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
"4598-XLKNJ",True,"No","Fiber optic","No","Yes","Yes","No","Yes","Yes"
"3192-NQECA",True,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes"
"0486-HECZI",True,"Yes","Fiber optic","Yes","Yes","No","No","Yes","No"
"4846-WHAFZ",True,"Yes","Fiber optic","No","No","No","No","No","No"
"5299-RULOA",True,"Yes","Fiber optic","Yes","No","No","No","Yes","Yes"
"0404-SWRVG",True,"Yes","Fiber optic","No","No","No","No","No","No"
