"city","total_customers","churned_customers","churn_rate_percent","monthly_revenue","avg_cltv"
"Los Angeles","305","90","29.51","19039.25","4377.33"
"San Diego","150","50","33.33","10225.90","4368.01"
"San Jose","112","29","25.89","7346.00","4233.38"
"Sacramento","108","26","24.07","6774.45","4540.66"
"San Francisco","104","31","29.81","6722.80","4335.46"
"Fresno","64","16","25.00","4117.40","4338.33"
"Long Beach","60","15","25.00","3922.05","4494.22"
"Oakland","52","13","25.00","3452.80","4334.40"
"Stockton","44","12","27.27","2898.65","4371.18"
"Bakersfield","40","3","7.50","2358.85","4607.55"
"Glendale","40","13","32.50","2336.60","4355.95"
"Whittier","30","5","16.67","2202.95","4772.93"
"Berkeley","32","9","28.13","2134.65","4527.31"
"Riverside","32","8","25.00","2116.30","4573.72"
"Modesto","28","12","42.86","1947.70","4364.64"
"Pasadena","30","9","30.00","1891.80","4226.13"
"Anaheim","28","7","25.00","1822.45","4069.68"
"Burbank","25","6","24.00","1821.10","4529.00"
"San Bernardino","28","8","28.57","1798.95","4426.25"
"Santa Barbara","28","10","35.71","1759.45","4198.11"
"Santa Monica","25","5","20.00","1706.65","4784.20"
"Irvine","28","5","17.86","1697.15","4466.64"
"Chula Vista","25","5","20.00","1665.00","4782.88"
"Santa Ana","24","6","25.00","1572.60","4471.58"
"Torrance","25","8","32.00","1539.40","4606.20"
"Rancho Cucamonga","20","4","20.00","1478.30","4242.10"
"Inglewood","25","5","20.00","1477.70","5006.24"
"Corona","20","2","10.00","1329.40","4413.75"
"Garden Grove","20","4","20.00","1326.15","4533.60"
"North Hollywood","20","9","45.00","1300.50","4294.60"
"Santa Rosa","24","11","45.83","1282.65","4088.13"
"Van Nuys","20","4","20.00","1241.15","3936.60"
"Escondido","20","4","20.00","1226.00","4417.80"
"Salinas","20","4","20.00","1078.00","4369.00"
"Orange","20","3","15.00","1058.85","4774.00"
